,skills,degree_names,professional_company_names,related_skils_in_job,start_dates,end_dates
361,"['Python', 'LeetCode', 'GDB', 'GitHub', 'HTML', 'MySQL', 'Lucidchart', 'Postman', 'OWASP ZAP', 'Jira']",['Bachelor of Science'],"['Charles Schwab', 'Sysco', 'Accenture']","[['Python', 'GDB', 'GitHub'], ['PowerShell'], ['OWASP ZAP', 'Jira']]","['2020', '2017', '2015']","['current', '2020', '2017']"
73,"['assembly', 'ATM', 'Cadence', 'calibration', 'CA', 'hardware', 'DC', 'de-bugging', 'Ethernet', 'Graphic', 'ISO 9000', 'LabView', 'layout', 'Linux OS', 'Logic', 'Mentor', 'Access', 'MS Office', 'Windows', 'multimeters', 'network', 'networking', 'ORCAD', 'oscilloscopes', 'power supplies', 'procurement', 'purchasing', 'Quality Assurance', 'Routers', 'schematics', 'signal generators', 'SONET', 'Switches', 'T1', 'test equipment', 'trouble shooting', 'troubleshooting', 'validation', 'View']",['Associate Degree'],"['Company Name', 'Company Name', 'Company Name']","[['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB rework'], ['testing', 'troubleshooting', 'ISO 9000', 'schematics', 'PCB layout']]","['August 2007', 'January 2002', 'April 1995']","['October 2014', 'June 2007', 'November 2001']"
374,"['Business Analyst', 'Data Analysis', 'Machine Learning', 'Python', 'C++', 'DotNet', 'Java', 'PyTorch']",['B.Tech (Civil)'],['CITI'],"[['Data Analysis', 'Machine Learning']]",['March 2019'],['June 2020']
155,"['Software Engineer', 'Data Analyst', 'Machine Learning', 'Text Analytics', 'Software Development', 'Object Oriented Programming', 'Pandas', 'Numpy', 'Java', 'Python', 'SpringBoot', 'Laravel']",['B.Tech'],['KLP Technology Solutions'],"[['Machine Learning', 'Software Engineering', 'Feature Engineering', 'Evaluation Methods']]",['Jan 2019'],['till date']
104,"['Project Management', 'Secret Clearance', 'Risk management', 'Performance tracking and evaluation', 'Team building', 'Project analysis', 'Leadership mentoring', 'Business and requirements analysis', 'Operations management', 'Decisive leader']","['Graduate Certificate', 'MBA', 'Bachelor of Science']","['Company Name', 'Company Name', 'Company Name']","[['Project management', 'Leadership', 'Risk management', 'Business development', 'Process improvement'], ['Technical support', 'Project management', 'Risk management'], ['Leadership', 'Training', 'Logistics']]","['01/2004', '01/2002', '07/1991']","['Current', '01/2004', '01/2002']"
394,"['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation, configuration, and troubleshooting', 'Remote Desktop and Help Desk Management', 'Verbal Communication', 'Technical Support', 'Team Leadership', 'Programming Languages', 'On-call tech support', 'Windows & Mac OS', 'Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial', 'Management', 'VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture', 'Application Development', 'Voice Over IP Telephone', 'Inventory Management']","['Bachelor Degree', 'Associate Degree']","['N/A', 'Company Name', 'Company Name']","[['Microsoft Applications', 'Windows Applications', 'Mac OS and IOS', 'Network routers', 'Cisco ASA firewall', 'Juniper Net-screen', 'LANs, WANs', 'Cloud Experience'], ['Microsoft applications', 'Windows and Mac OS', 'Linux', 'Web Development'], ['Customer Support', 'Technical Support', 'Network Administration', 'Inventory Management']]","['August 2006', 'August 2013', 'July 2014']","['January 2013', 'September 2014', 'Current']"
377,[],"['M.S.', 'B.S.']","['FreshDirect', 'Marketing Science Associates']","[[], []]","['April 2018', 'April 2017']","['September 2018', 'September 2017']"
124,"['Project Management', 'Secret Clearance', 'Risk management', 'Performance tracking and evaluation', 'Team building', 'Project analysis', 'Leadership mentoring', 'Business and requirements analysis', 'Operations management', 'Decisive leader']","['Graduate Certificate', 'MBA', 'Bachelor of Science']","['Company Name', 'Company Name', 'Company Name']","[['Project management', 'Leadership', 'Risk management', 'Business development', 'Process improvement'], ['Technical support', 'Project management', 'Risk management'], ['Leadership', 'Training', 'Logistics']]","['01/2004', '01/2002', '07/1991']","['Current', '01/2004', '01/2002']"
68,"['C', 'R', 'Catia', 'AutoCAD', 'ANSYS', 'Microsoft office', 'Product Project Management', 'GD&T', 'Minitab', 'Kanban', 'Kaizen', 'FMEA', 'development', 'Toyota production systems', 'APQP', 'PPAP', '8D', '5 why', ""KPI's"", 'Reliability SAE Standards', 'Vehicle ergonomics', 'DVP&R', 'QCC', 'CNC engineering', 'Programming', 'anatomy', 'benchmarking', 'lean manufacturing', 'manufacturing process', 'cost analysis', 'packaging', 'process engineering', 'Product Development', 'surveys', 'validation', 'welding']","['Master of Science', 'Bachelor of Engineering']","['Company Name', 'Company Name']","[[""Delphi's SPQVC"", 'APQP', 'PFMEA', 'lean manufacturing'], ['APQP', 'DVP&R', 'PPAP', 'DFMEA', 'Toyota standards', 'SQD', 'quality tools']]","['07/2017', '06/2013']","['08/2017', '06/2016']"
450,"['Data Science', 'Data Analysis', 'Data Analytics', 'Data Mining', 'Deep Learning', 'Machine Learning', 'Artificial Intelligence', 'Linear Regression', 'Python', 'Jupyter', 'OpenCV']",['B.Tech'],['NaxApp'],[None],['Apr 2020'],['May 2020']
